2021-02-24 12:19:42 Line: 11, : Request start: ::1
2021-02-24 12:19:49 Line: 11, : Request start: ::1
2021-02-24 12:19:49 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 290
2021-02-24 12:19:49 Line: 96, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2021-02-24 12:19:51 Line: 11, : Request start: ::1
2021-02-24 12:19:51 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 290
2021-02-24 12:19:51 Line: 96, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2021-02-24 12:19:51 Line: 11, : Request start: ::1
2021-02-24 12:19:51 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 290
2021-02-24 12:19:51 Line: 96, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2021-02-24 12:19:52 Line: 11, : Request start: ::1
2021-02-24 12:19:52 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 290
2021-02-24 12:19:52 Line: 96, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2021-02-24 12:19:53 Line: 11, : Request start: ::1
2021-02-24 12:19:53 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 290
2021-02-24 12:19:53 Line: 96, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2021-02-24 12:19:53 Line: 11, : Request start: ::1
2021-02-24 12:19:53 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 290
2021-02-24 12:19:53 Line: 96, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2021-02-24 12:19:53 Line: 11, : Request start: ::1
2021-02-24 12:19:53 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 290
2021-02-24 12:19:53 Line: 96, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2021-02-24 12:19:54 Line: 11, : Request start: ::1
2021-02-24 12:19:54 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 290
2021-02-24 12:19:54 Line: 96, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2021-02-24 12:19:54 Line: 11, : Request start: ::1
2021-02-24 12:19:54 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 290
2021-02-24 12:19:54 Line: 96, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2021-02-24 12:19:55 Line: 11, : Request start: ::1
2021-02-24 12:19:55 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 290
2021-02-24 12:19:55 Line: 96, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2021-02-24 12:19:55 Line: 11, : Request start: ::1
2021-02-24 12:19:55 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 290
2021-02-24 12:19:55 Line: 96, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2021-02-24 12:19:55 Line: 11, : Request start: ::1
2021-02-24 12:19:55 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 290
2021-02-24 12:19:55 Line: 96, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2021-02-24 12:19:55 Line: 11, : Request start: ::1
2021-02-24 12:19:55 Line: 91, APISubiektGT\SubiektGT\SubiektObj->get: Pobrano dane obiektu id: 290
2021-02-24 12:19:55 Line: 96, APISubiektGT\SubiektGT\order->get: Request finish: ::1
2021-02-24 12:20:42 Line: 11, : Request start: ::1
2021-02-24 12:20:46 Line: 11, : Request start: ::1
2021-02-24 12:20:47 Line: 11, : Request start: ::1
2021-02-24 12:20:48 Line: 11, : Request start: ::1
2021-02-24 12:20:49 Line: 11, : Request start: ::1
2021-02-24 12:20:52 Line: 11, : Request start: ::1
2021-02-24 12:20:53 Line: 11, : Request start: ::1
2021-02-24 12:20:57 Line: 11, : Request start: ::1
2021-02-24 12:21:40 Line: 11, : Request start: ::1
2021-02-24 12:21:44 Line: 11, : Request start: ::1
2021-02-24 12:21:47 Line: 11, : Request start: ::1
2021-02-24 12:21:51 Line: 11, : Request start: ::1
2021-02-24 12:21:53 Line: 11, : Request start: ::1
2021-02-24 12:21:54 Line: 11, : Request start: ::1
2021-02-24 12:21:55 Line: 11, : Request start: ::1
2021-02-24 12:21:56 Line: 11, : Request start: ::1
2021-02-24 12:21:57 Line: 11, : Request start: ::1
2021-02-24 12:21:58 Line: 11, : Request start: ::1
2021-02-24 12:22:00 Line: 11, : Request start: ::1
2021-02-24 12:22:02 Line: 11, : Request start: ::1
2021-02-24 12:22:06 Line: 11, : Request start: ::1
2021-02-24 12:27:15 Line: 11, : Request start: ::1
2021-02-24 12:27:25 Line: 11, : Request start: ::1
2021-02-24 12:29:29 Line: 11, : Request start: ::1
2021-02-24 12:34:04 Line: 11, : Request start: ::1
2021-02-24 12:34:04 Line: 95, APISubiektGT\SubiektGT\Order->getPdf: Wygenerowano pdf dokumentu: FS 7/2021
2021-02-24 12:34:04 Line: 96, APISubiektGT\SubiektGT\order->getpdf: Request finish: ::1
2021-02-24 12:34:15 Line: 11, : Request start: ::1
2021-02-24 12:40:13 Line: 11, : Request start: ::1
2021-02-24 12:40:14 Line: 95, APISubiektGT\SubiektGT\Order->getPdf: Wygenerowano pdf dokumentu: FS 7/2021
2021-02-24 12:40:14 Line: 96, APISubiektGT\SubiektGT\order->getpdf: Request finish: ::1
2021-02-24 12:40:35 Line: 11, : Request start: ::1
2021-02-24 12:40:36 Line: 95, APISubiektGT\SubiektGT\Order->getPdf: Wygenerowano pdf dokumentu: FS 7/2021
2021-02-24 12:40:36 Line: 96, APISubiektGT\SubiektGT\order->getpdf: Request finish: ::1
2021-02-24 12:41:56 Line: 11, : Request start: ::1
